Порядковое число администрации и комитета,Название организации  правообладателя,"Вид активности, вид спорта",Адрес,Уточнение адреса,Координаты,"Ближайшая станция метро, остановка общественного транспорта",Район,Телефон(ы),Адрес сайта или  страницы в социальных сетях,Статус (работающий/ временно приостановлено посещение),Время работы  (расписание),Доступность для лиц с нарушениями здоровья,Наличие проката инвентаря (да/нет),Наличие услуг инструктора (да/нет),Наличие помещения для переодевания (да/нет),Наличие камеры хранения (да/нет),Иные услуги (перечень)
7.0001,"ГБОУ ДОД ""Центр Физкультура и Здоровье""",ОФП,"Большая Пороховская ул., 44, к. 3","Остановка Большая Пороховская улица, 46","59.956551,30.428855",Ладожская,Красногвардейский,8(812)386-40-48,Https://vk.com/c_fiz,Работающий,08.00-22.00,"Нарушение слуха, интеллектуальные нарушения",False,False,False,False,
7.0002,"ГБОУ ДОД ""Центр Физкультура и Здоровье""",Мини-футбол Хоккей,"пр. Маршала Блюхера, 38 корпус 4",,"59.976861,30.423037","Остановка Проспект Маршала Блюхера, 44",Красногвардейский,8(812)386-40-48,Https://vk.com/c_fiz,Работающий,08.00-22.00,"Нарушение слуха, интеллектуальные нарушения",False,True,False,False,
7.0003,"ГБОУ ДОД ""Центр Физкультура и Здоровье""",Футбол баскетбол ОФП,"Новочеркасский проспект, участок 78, (у дома 36, корп. 1, литера А)",,"59.926491,30.418217",Остановка Таллинская улица,Красногвардейский,8(812)386-40-48,Https://vk.com/c_fiz,Работающий,08.00-22.00,"Нарушение слуха, интеллектуальные нарушения, поражение ОДА",False,False,False,False,
7.0004,"ГБОУ ДОД ""Центр Физкультура и Здоровье""","Футбол, баскетбол, ОФП","Индустриальный пр., 36","Индустриальный проспект, участок 58, (у дома 36, литера Б)","59.952792,30.467903",Остановка Индустриальный проспект,Красногвардейский,8(812)386-40-48,Https://vk.com/c_fiz,Работающий,08.00-22.00,"Нарушение слуха, интеллектуальные нарушения, поражение ОДА",False,True,False,False,
7.0005,"ГБОУ ДОД ""Центр Физкультура и Здоровье""",Мини-футбол Хоккей,"проспект Металлистов, участок 24, (у дома 66, литера А)",,"59.958239,30.420938",Остановка Шоссе Революции,Красногвардейский,8(812)386-40-48,Https://vk.com/c_fiz,Работающий,08.00-22.00,"Нарушение слуха, интеллектуальные нарушения",False,True,False,False,
7.0006,"ГБОУ ДОД ""Центр Физкультура и Здоровье""",Мини-футбол Хоккей,"улица Маршала Тухачевского, участок 23, (у дома 3, литера А)",,"59.961335,30.433305","Остановка Улица Маршала Тухачевского, 5",Красногвардейский,8(812)386-40-48,Https://vk.com/c_fiz,Работающий,08.00-22.00,"Нарушение слуха, интеллектуальные нарушения",False,True,False,False,
7.0007,"ГБОУ ДОД ""Центр Физкультура и Здоровье""",Футбол ОФП комплекс ГТО,"Республиканская улица, участок 6, (у дома 16, литера А)",,"59.934385,30.409716",Остановка Республиканская улица,Красногвардейский,8(812)386-40-48,Https://vk.com/c_fiz,Работающий,08.00-22.00,"Нарушение слуха, интеллектуальные нарушения",False,True,False,False,
7.0008,"ГБОУ ДОД ""Центр Физкультура и Здоровье""",Футбол легкая атлетика ОФП,"улица Коммуны, участок 1, (восточнее дома 32, корп. 4, литера А по улице Коммуны)",,"59.949247,30.499358",Остановка Поликлиника № 107,Красногвардейский,8(812)386-40-48,Https://vk.com/c_fiz,Работающий,07.00-22.00 (по расписанию),"Нарушение слуха, наршение зрения, интеллектуальные нарушения, поражение ОДА",False,True,True,True,
7.0009,"ГБОУ ДОД ""Центр Физкультура и Здоровье""",ОФП,"улица Передовиков, участок 28, (западнее дома 37, литера А по улице Передовиков)",,"59.953055,30.461229",Остановка Улица Передовиков,Красногвардейский,8(812)386-40-48,Https://vk.com/c_fiz,Работающий,08.00-22.00,"Нарушение слуха, интеллектуальные нарушения",False,False,False,False,
7.0010,"ГБОУ ДОД ""Центр Физкультура и Здоровье""",ОФП Баскетбол для МГН,"проспект Ударников, участок 54, (юго-западнее дома 49, корп. 2, литера А по проспекту Ударников)",,"59.954729,30.491682",Остановка Проспект Ударников,Красногвардейский,8(812)386-40-48,Https://vk.com/c_fiz,Работающий,08.00-22.00,"Нарушение слуха, интеллектуальные нарушения",False,False,False,False,
