Порядковый номер,Адрес,Координаты
1,"Ул.Оптиков, д.35, г. Санкт-Петербург","60.00072,30.21417"
2,"Обводного Канала наб., д.75-А, г. Санкт-Петербург","59.915564,30.35045"
3,"Маршала Жукова просп., д.56, к.1-А, г. Санкт-Петербург","59.84114,30.205453"
4,"Маршала Блюхера просп., д.1-А, к.2, г. Санкт-Петербург","59.9858,30.36287"
5,"Пулковское ш., д.60 , к.1-М, напротив, г. Санкт-Петербург","59.79467,30.32408"
6,"Г. СПб, ЗСД правое направление 15 км 258 м","59.94377,30.20446"
7,"Г. СПб, ЗСД левое направление 11 км 574 м",
8,"Г. СПб, ЗСД левое направление 9 км 208 м","59.89678,30.23216"
9,"Г. СПб, ЗСД левое направление 36 км 912 м","60.10263,30.08868"
10,"Пулковское ш., коорд. N59.78066 E30.32521, п. Шушары, г. Санкт-Петербург","59.78066,30.32521"
11,"Г. СПб, ЗСД правое направление 32 км 458 м","60.07162,30.13537"
12,"Пулковское ш., д.86, лит. А, г. Санкт-Петербург","59.76921,30.33234"
13,"Косыгина просп., д.2, к.5-А, г. Санкт-Петербург","59.93783,30.45021"
14,"Зеленогорское ш., коорд. N60.17488 E29.85470, п. Репино, г. Санкт-Петербург","60.17488,29.8547"
15,"Зеленогорское ш., коорд. N60.17539 E29.85493, п. Репино, г. Санкт-Петербург","60.17539,29.85493"
16,"Г. СПб, ЗСД левое направление 32 км 458 м","60.0715,30.13503"
17,"Г. СПб, ЗСД правое направление 36 км 912 м","60.10272,30.08907"
18,"Ул.Передовиков, д.21-А, г. Санкт-Петербург","59.9463,30.46112"
19,"Г. СПб, ЗСД левое направление 28 км 250 м","60.03895,30.16597"
20,"Санкт-Петербургское ш., д.109-А, г. Петергоф, г. Санкт-Петербург","59.86333,29.98731"
21,"Г. СПб, ЗСД левое направление 23 км 891 м","60.01575,30.22617"
22,"Витебский просп., напротив д. 108, лит. Б, г. Санкт-Петербург","59.83044,30.37387"
23,"Пулковское ш., напротив д.74, лит. А, г. Санкт-Петербург","59.77958,30.32584"
24,"Г. СПб, ЗСД правое направление 21 км 807 м","59.99701,30.23178"
25,"Г. СПб, ЗСД правое направление 26 км 778 м","60.03366,30.18953"
26,"Пулковское ш., д.105-А, г. Санкт-Петербург","59.75192,30.31748"
27,"Петрозаводское ш., напротив д. 52, лит. А, п. Саперный, г. Санкт-Петербург","59.77368,30.7023"
28,"Приморское ш., напротив д. 247-А, г. Сестрорецк, г. Санкт-Петербург","60.06127,29.97281"
29,"Обводного Канала наб., въезд под Ново-Московский мост, г. Санкт-Петербург","59.90894,30.31801"
30,"Российский просп., д.15, лит. А, г. Санкт-Петербург","59.92969,30.47365"
31,"Российский просп., д.14, лит. А, г. Санкт-Петербург","59.93003,30.4732"
32,"Выборгская наб., д.57, к.2, лит. А, г. Санкт-Петербург","59.97859,30.32543"
33,"Приморское ш., д.247-А, г. Сестрорецк, г. Санкт-Петербург","60.06127,29.97281"
34,"Октябрьская наб., д.16, лит. А, г. Санкт-Петербург","59.90927,30.42636"
35,"Александровской Фермы просп., д.19, лит. А, г. Санкт-Петербург","59.85805,30.44897"
36,"Суздальский просп., напротив д. 32, стр. 1, г. Санкт-Петербург","60.05794,30.35347"
