№,Наименование подведомственной организации,Сокращенное наименование,Адрес,Район города,Ближайшая станция метро,Руководитель,Телефон,Факс,Режим работы,Электронная почта,ИНН,ОГРН,Сайт,Сведения о деятельности,Координаты
1,Санкт-Петербургское государственное казенное учреждение «Центральный государственный архив Санкт-Петербурга»,ЦГА СПб,"193168, Санкт-Петербург,  улица Антонова-Овсеенко, дом 1, корпус 1, литера А",Невский,Улица Дыбенко,Шемчук Ольга Николаевна,417-54-71,нет,"пн-чт 08:0-16:42, пт 08:00-15:42, перерыв на обед 11:30-12:00",cga@ak.gov.spb.ru,7811394743,1089847000363,http://spbarchives.ru/cga,"Является крупнейшим архивом страны, содержащим ретроспективную документальную информацию по истории города, губернии и области за период после 1917 года и до конца 1990-х годов","59.905015,30.456616"
2,Санкт-Петербургское государственное казенное учреждение «Центральный государственный исторический архив Санкт-Петербурга»,ЦГИА СПб,"190121, Санкт-Петербург, Псковская улица, дом 18",Адмиралтейский,Балтийская,Киселев Роман Павлович,495-29-61,495-29-61,"пн-чт 08:30-17:30, пт 08:30-16:30, перерыв на обед 12:00-12:42",cgia@ak.gov.spb.ru,7839372919,1089847000320,http://spbarchives.ru/cgia,"Является одним из крупнейших архивохранилищ России, где сосредоточены материалы основных учреждений, организаций и предприятий Петербурга–Петрограда с XVIII в. до 1917 года","59.919757,30.281391"
3,Санкт-Петербургское государственное казенное учреждение «Центральный государственный архив историко-политических документов Санкт-Петербурга»,ЦГАИПД СПб,"191015, Санкт-Петербург, Таврическая улица, дом 39",Центральный,Чернышевская,Тарадин Владимир Владимирович,271-39-73,271-39-73,"пн-чт 09:00-18:00, пт 09:00-17:00, перерыв на обед 12:00-12:48",cgaipd@ak.gov.spb.ru,7842375300,1089847000418,http://spbarchives.ru/cgaipd,"Архив хранит документы партийных и комсомольских органов и организаций, политотделов, учебных заведений, научных и политико-просветительных учреждений КПСС и ВЛКСМ, а также комплекса документов по истории Гражданской и Великой Отечественной войн","59.94755,30.378499"
4,Санкт-Петербургское государственное казенное учреждение «Центральный государственный архив научно-технической документации Санкт-Петербурга»,ЦГАНТД СПб,"192007, Санкт-Петербург, Тамбовская улица, дом 17, литера А",Фрунзенский,Обводный канал,Недбай Фаина Валерьевна,573-91-01,нет,"пн-чт 09:00-18:00, пт 09:00-17:00, перерыв на обед 12:00-12:48",cgantd@ak.gov.spb.ru,7842375290,1089847000407,http://spbarchives.ru/cgantd,"Архив хранит проектную, конструкторскую, научно-исследовательскую, картографическую и управленческую документацию более 400 научных организаций, характеризующих становление и развитие практически всех отраслей народного хозяйства","59.912364,30.353157"
5,Санкт-Петербургское государственное казенное учреждение «Центральный государственный архив литературы и искусства Санкт-Петербурга»,ЦГАЛИ СПб,"191123, Санкт-Петербург, Шпалерная улица, дом 34",Центральный,Чернышевская,Николаева Людмила Игоревна,272-25-57,272-53-97,"пн-пт 08:00-16:30, перерыв на обед 12:00-12:30",cgali@ak.gov.spb.ru,7841378072,1089847000253,http://spbarchives.ru/cgali,"В архиве сосредоточены фонды государственных учреждений, общественных организаций литературы, искусства и культурно-просветительной работы, а также фонды личного происхождения деятелей культуры Санкт-Петербурга с 1917 года по настоящее время","59.949154,30.355825"
6,Санкт-Петербургское государственное казенное учреждение «Центральный государственный архив кинофотофонодокументов Санкт-Петербурга»,ЦГАКФФД СПб,"191015, Санкт-Петербург, Таврическая улица, дом 39",Центральный,Чернышевская,Морозан Оксана Игоревна,274-43-29,274-43-29,"пн-чт 08:00-16:30, пт 08:00-15:30  перерыв на обед 12:00-12:30",cgakffd@ak.gov.spb.ru,7842375250,1089847000242,http://spbarchives.ru/cgakffd,"Основной объем хранящихся материалов составляют фотодокументы, наибольшая часть которых представлена черно-белыми негативами – оригиналами на стекле и пленке","59.94755,30.378499"
7,"Санкт-Петербургское государственное казенное учреждение «Центральный государственный архив документов по личному составу ликвидированных государственных предприятий, учреждений, организаций Санкт-Петербурга»",ЦГАЛС СПб,"191119, Санкт-Петербург, Днепропетровская улица, дом 9-а",Центральный,Лиговский проспект,Легкая Лидия Сергеевна,572-12-57,572-12-57,"пн-чт 08:00-16:30, пт 08:00-15:30  перерыв на обед 12:00-12:30",cgals@ak.gov.spb.ru,7842013557,1027809227445,http://spbarchives.ru/cgals,"Архив создан с целью сохранения и дальнейшего использования в интересах граждан документов ликвидированных учреждений, предприятий, организаций","59.918949,30.363021"
8,Санкт-Петербургское государственное казенное учреждение «Лаборатория обеспечения сохранности документов государственных архивных учреждений Санкт-Петербурга»,СПб ГКУ ЛОСДГАУ,"193168, Санкт-Петербург,  улица Антонова-Овсеенко, дом 1, корпус 1, литера А",Невский,Улица Дыбенко,Пейбо Ольга Николаевна,417-54-79,нет,"пн-чт 09:00-17:45, пт 09:00-16:45, перерыв на обед 11:45-12:30",losdgau@ak.gov.spb.ru,7841378080,1089847000275,http://spbarchives.ru/losd,"Обеспечение физической сохранности документов, их реставрации, создания страхового фонда на уникальные и особо ценные документы государственных архивов","59.905015,30.456616"
9,Санкт-Петербургское государственное казенное учреждение «Техническая дирекция государственных архивных учреждений Санкт-Петербурга»,СПб ГКУ «ТД»,"191015, Санкт-Петербург, Таврическая улица, дом 39",Центральный,Чернышевская,Сафонов Николай Валерьевич,271-46-25,241-56-71,"пн-чт 09:00-18:00, пт 09:00-17:00, перерыв на обед 13:00-13:45",td@ak.gov.spb.ru,7842375282,1089847000319,нет,"Инженерно-техническое обслуживание объектов, оборудования и коммуникаций Архивного комитета, ЦГАИПД и ЦГАКФФД и организация необходимой технической помощи подведомственным архивным учреждениям, расположенным по другим адресам","59.94755,30.378499"
10,Санкт-Петербургское государственное казенное учреждение «Централизованная бухгалтерия государственных архивных учреждений Санкт-Петербурга»,ЦБГАУ СПб,"191015, Санкт-Петербург, Таврическая улица, дом 39",Центральный,Чернышевская,Голомбиевская Елена Олеговна,576-54-05,нет,"пн-чт 08:30-17:30, пт 08:30-16:30, перерыв на обед 13:00-13:50",cbgau@ak.gov.spb.ru,7842375275,1089847000308,нет,"Финансовое обеспечение государственных учреждений, подведомственных Архивному Комитету Санкт-Петербурга","59.94755,30.378499"
