ID в ИС ГТИБД,Название,Название (англ.),Тип,Страна,Адрес,Район,Телефоны,Сайт,Электронная почта,Описание,Описание (англ.),Время работы,Доступно для лиц с ограниченными возможностями,Геопозиция,ОГРН,ИНН
3285,Аничков Дворец,Anichkov Palace,государственное ведомственное учреждение,Россия,"191011, Санкт-Петербург, Невский пр., 39 лит. А",Центральный,"+7 (812) 310-93-80, +7 (812) 310-43-95
Справки об оплате групповых экскурсий по телефону 310-45-88.",http://anichkov.ru/page/museum/,anichkovmuz@mail.ru,"Старейшее здание на Невском проспекте, императорская резиденция","The oldest building on Nevsky prospekt, imperial palace",пн-сб 10:00-18:00,нет,"59.932723,30.341459",2147483647123.0,7840325991.0
3287,Воскресенский Новодевичий монастырь,Voskresensky Novodevichy Convent,гос.федеральное учреждение,Россия,"196084, Санкт-Петербург, Московский пр., 100 к.2",Московский,+7 (812) 252-11-66 (канцелярия),вноводевичий.рф,priest-denis@yandex.ru,Действующий православный женский монастырь,Active Ortodox Convent,09:00–18:00,нет,"59.89853,30.322101",1037858002698.0,7810387493.0
3290,Музей Дома Радио,,,Россия,"191023, Санкт-Петербург, ул. Малая Садовая, 2/27",Центральный,нет данных,нет данных,нет данных,"В здании работают радио «Петербург» и звукозаписывающая студия, Музей Дома Радио, «Открытая студия» канала 78. Ряд помещений в качестве репетиционных площадок арендовали музыкальные коллективы города. В здании репетировали Губернаторский симфонический оркестр Петербурга, оркестр Михайловского театра, Санкт-Петербургский государственный академический симфонический оркестр (СПб ГАСО) под руководством Александра Титова, Детский хор телевидения и радио Санкт-Петербурга, Музыкальный театр детей Марины Ланда.",,Круглосуточно,нет,"59.935402,30.33857",,
3295,Зимний дворец (Главный музейный комплекс),Winter Palace,гос.федеральное учреждение,Россия,"191055, Санкт-Петербург, пл. Дворцовая, 2",Центральный,+7 (812) 710-96-25,hermitagemuseum.org,chancery@hermitage.ru,"Зимний дворец - бывший императорский дворец, в настоящее время входит в состав главного музейного комплекса Эрмитаж",,"Время работы

вт, чт, вс: 11:00 – 19:00
ср, пт, сб: 11:00 – 20:00

Музей закрыт по понедельникам, 1 января и 9 мая

Билеты в музей приобретаются на официальном сайте музея. Посещение осуществляется по разработанным музеем маршрутам по сеансам.

Маршрут №1 по главному музейному комплексу (вход с Иорданской лестницы), маршрут №2 по главному музейному комплексу (вход с Церковной лестницы). Возможно посещение с экскурсией по сеансам в составе группы до 10 человек

Электронный входной билет: 500 рублей

Электронный билет действителен на выбранный сеанс и маршрут только в день посещения. Льготы не распространяются на экскурсионное обслуживание.

Главный музейный комплекс (маршрут №1 «Вход со стороны Иорданской лестницы»): электронный входной билет по специальному предложению* - 300 рублей",да,"59.939741,30.314803",1037843031808.0,7830002416.0
3296,Смольный институт благородных девиц,Smolny institution for young ladies,гос.федеральное учреждение,Россия,"191060, Санкт-Петербург, Смольный проезд, 1",Центральный,+7 (812) 576-77-46; +7 (812) 576-74-61,visit-petersburg.ru/ru/leisure/194704/,,Здание Смольного института построено в стиле классицизм в 1806-1808 годах по проекту архитектора Д. Кваренги. Институт работал в историческом здании до 1917 года. В наши дни в здании располагается Администрация Санкт-Петербурга,Smolny Institution was built in 1806-1808 by D. Quarenghi in classical style. The Institution had functioned till 1917. Nowadays this building is used by Government of St. Petersburg.,"11:00–18:00, в пятницу с 15.00; выходные дни - суббота, воскресенье. Только экскурсионное обслуживание",нет,"59.946163,30.396433",1047844026933.0,7825453621.0
3298,Исаакиевский собор,St. Isaac's Cathedral,гос.федеральное учреждение,Россия,"190031, Санкт-Петербург, Исаакиевская площадь, 4",Адмиралтейский,+7 (812) 315-97-32,cathedral.ru,office@cathedral.ru,"Музей-памятник ""Исаакиевский собор"" - один из наиболее значительных художественных музеев России, пользующийся известностью во многих зарубежных странах.
  Исаакиевский собор - уникальный памятник отечественной архитектуры и один из лучших кафедральных соборов Европы. Это выдающийся образец русского культового искусства.","St. Isaac’s Cathedral is an outstanding monument of Russian architecture of the 19th century and one of the greatest dome constructions in the world, smaller in size only in comparison with the Cathedral of St. Peter in Rome, St. Paul’s Cathedral in London and Santa Maria del Fiore Cathedral in Florence","пн, вт, чт-вс 11:00-18:00",нет,"59.934039,30.306129",1027810284810.0,7812025107.0
3299,Казанский Кафедральный Собор,Kazan Cathedral,гос.федеральное учреждение,Россия,"191186, Санкт-Петербург, Казанская пл., 2",Центральный,+7 (812) 314-58-56,kazansky-spb.ru,kazancathedral@gmail.com,"Казанский Кафедральный Собор - один из крупнейших храмов Санкт-Петербурга, выполненный в стиле ампир. Построен на Невском проспекте в 1801—1811 годах архитектором А. Н. Воронихиным для хранения чтимого списка чудотворной иконы Божией Матери Казанской. После Отечественной войны 1812 года приобрел значение памятника русской воинской славы. В 1813 году здесь был похоронен полководец М. И. Кутузов и помещены ключи от взятых городов и другие военные трофеи.","Kazan Cathedral, also known as the Cathedral of Our Lady of Kazan, is a cathedral of the Russian Orthodox Church on the Nevsky Prospekt in St. Petersburg. It is dedicated to Our Lady of Kazan, probably the most venerated icon in Russia.","пн-сб 08:30-20:00
вс 06:30-20:00",нет,"59.934387,30.324738",1027810284810.0,7812025107.0
3304,Михайловский замок,Mikhailovsky Castle (Russian Museum),гос.федеральное учреждение,Россия,"191023, Санкт-Петербург, Садовая улица, 2",Центральный,+7 (812) 595-42-48,rusmuseum.ru,info@rusmuseum.ru,"Ансамбль Михайловского замка с двумя павильонами Кордегардий. 1797-1801 гг., архитекторы В. Бренна и В. Баженов. Единственное в России дворцовое сооружение в стиле романтического классицизма. Строился как парадная резиденция императора Павла I. Название получил в честь Архангела Михаила - небесного покровителя Дома Романовых. После убийства, произошедшего здесь в ночь с 11 на 12 марта 1801 года, замок потерял значение парадной резиденции, перешел в ведение Министерства Императорского двора и постепенно пришел в запустение. С 1823 года здесь разместилось Николаевское Инженерное училище, давшее замку новое название - Инженерный.","Among the galaxy of magnificent palaces and mansions of old St. Peterburg the Mikhailovskiy castle occupies a special place whilst still Grand Duke, Paul I was already considering building his own residence, and more then 10- years different architects like Vasiliy Bazhenov were involved in the project. But Emperor lived in it for only 40 days, he was murdered in his bedroom. After this bloody event in the castle was open the main Engeneering School.","пн, ср, пт, сб, вс 10:00-18:00 
чт 13:00-21:00 
вт - выходной",нет,"59.93989,30.337753",,
3305,Музей антропологии и этнографии имени Петра Великого Российской Академии Наук (Кунсткамера),Peter the Great Museum of Anthropology and Ethnography of the Russian Academy of Sciences (Kunstkamera),гос.федеральное учреждение,Россия,"199034, Санкт-Петербург, Университетская наб., 3",Василеостровский,+7 (812) 328-14-12,kunstkamera.ru,info@kunstkamera.ru; order@kunstkamera.ru,"Первый музей России, учреждённый императором Петром Первым в 1714 году. Обладает уникальной коллекцией предметов старины, раскрывающих историю и быт многих народов, а также коллекцией, собранной Петром Первым во время его путешествий.",The Kunstkamera was the first museum in Russia. Established by Peter the Great in 1714. It has anthropological and ethnographical collections on the culrures of people around the world and some items collected by Peter the Great in his travels.,"вт-вс 11:00-18:00
кассы до 17:00
пн - выходной
последний вт каждого месяца - санитарный день",нет,"59.941442,30.304543",1037800013206.0,7801023852.0
3306,Новый Эрмитаж,The New Hermitage,гос.федеральное учреждение,Россия,"​191186, Санкт-Петербург, Миллионная улица, 35",Центральный,+7 (812) 710-90-79,hermitagemuseum.org,visitorservices@hermitage.ru,Одно из зданий Государственного Эрмитажа,Part of the State Hermitage,"вт-вс: 10:30-18:00
ср: 10:30-21:00",нет,"59.94114,30.317611",1037843031808.0,7830002416.0
